NO;JALUR;STATUS;UMUR DOKUMEN;UMUR LHP;JENIS PEMBERITAHUAN;NOMOR AJU;NOMOR DAFTAR;TANGGAL DAFTAR;ID PERUSAHAAN;NAMA PERUSAHAAN;PPJK
32;H;;751;-;30 - BC 3.0;00003082062720240118000085;600392;18-01-2024;820627214125000;SARANA MAJU BERSAMA;
33;H;;751;-;30 - BC 3.0;00003053320220240118000023;600405;18-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
34;H;;751;-;30 - BC 3.0;00003092821220240117000070;600395;18-01-2024;013451828058000;PT. TAMORA STEKINDO;PT. LOGISTIK EKSPRESINDO UTAMA
35;H;;751;-;30 - BC 3.0;01010000258220240118000064;600396;18-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
36;H;;750;-;30 - BC 3.0;00003092568520240119000021;600419;19-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
37;H;;750;-;30 - BC 3.0;00003092568520240118000019;600415;19-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
38;H;;750;-;30 - BC 3.0;00003082068420240119000079;600430;19-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
39;H;;750;-;30 - BC 3.0;00003082062720240119000090;600417;19-01-2024;820627214125000;SARANA MAJU BERSAMA;
40;H;;750;-;30 - BC 3.0;00003082062720240119000087;600421;19-01-2024;820627214125000;SARANA MAJU BERSAMA;
41;H;;750;-;30 - BC 3.0;00003092821220240119000086;600433;19-01-2024;800480121125001;PT. CEFA INDONESIA SEJAHTERA LESTARI;PT. LOGISTIK EKSPRESINDO UTAMA
42;H;;750;-;30 - BC 3.0;00003092821220240119000085;600434;19-01-2024;800480121125001;PT. CEFA INDONESIA SEJAHTERA LESTARI;PT. LOGISTIK EKSPRESINDO UTAMA
43;H;;750;-;30 - BC 3.0;00003092821220240119000081;600431;19-01-2024;017275736113000;PT. KREASI FAUNA INDAH;PT. LOGISTIK EKSPRESINDO UTAMA
44;H;;750;-;30 - BC 3.0;01010000258220240119000073;600436;19-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
45;H;;749;-;30 - BC 3.0;00003082062720240120000094;600445;20-01-2024;820627214125000;SARANA MAJU BERSAMA;
46;H;;749;-;30 - BC 3.0;00003021016120240120000059;600438;20-01-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
47;H;;749;-;30 - BC 3.0;00003096020820240111000001;600446;20-01-2024;432654440117000;CV. BESCO CITRA INDONESIA;PT. MORA MULTI BERKAH
48;H;;749;-;30 - BC 3.0;00003092821220240120000087;600441;20-01-2024;060893187112000;UD. GROUPER MARINE;PT. LOGISTIK EKSPRESINDO UTAMA
49;H;;749;-;30 - BC 3.0;00003074002520240120000028;600437;20-01-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
50;H;;749;-;30 - BC 3.0;01010000258220240120000076;600443;20-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
51;H;;748;-;30 - BC 3.0;00003053320220240121000027;600449;21-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
52;H;;747;-;30 - BC 3.0;00003092568520240122000023;600458;22-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
53;H;;747;-;30 - BC 3.0;00003083316220240122000002;600465;22-01-2024;833162191122000;PT.TOP RAWYALE INDONESIA;
54;H;;747;-;30 - BC 3.0;00003082062720240122000099;600452;22-01-2024;820627214125000;SARANA MAJU BERSAMA;
55;H;;747;-;30 - BC 3.0;00003082062720240122000100;600453;22-01-2024;820627214125000;SARANA MAJU BERSAMA;
56;H;;747;-;30 - BC 3.0;00003082062720240122000098;600457;22-01-2024;820627214125000;SARANA MAJU BERSAMA;
57;H;;747;-;30 - BC 3.0;00003031192420240122000049;600462;22-01-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
58;H;;747;-;30 - BC 3.0;00003053320220240122000028;600472;22-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
59;H;;746;-;30 - BC 3.0;00003084834820240122000007;600482;23-01-2024;848348967125000;PT. ANUGERAH WALET JAYA;
60;H;;746;-;30 - BC 3.0;00003082068420240123000086;600484;23-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
61;H;;746;-;30 - BC 3.0;00003082062720240122000097;600480;23-01-2024;820627214125000;SARANA MAJU BERSAMA;
62;H;;746;-;30 - BC 3.0;00003082062720240123000103;600495;23-01-2024;820627214125000;SARANA MAJU BERSAMA;
63;H;;746;-;30 - BC 3.0;00003082062720240123000102;600496;23-01-2024;820627214125000;SARANA MAJU BERSAMA;
64;H;;746;-;30 - BC 3.0;00003092821220240123000097;600500;23-01-2024;807559554125000;PT. MEGA RATU WALET;PT. LOGISTIK EKSPRESINDO UTAMA
65;H;;746;-;30 - BC 3.0;00003021016120240122000067;600477;23-01-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
66;H;;746;-;30 - BC 3.0;00003001718920240123000019;600486;23-01-2024;017189184125000;TOBA SURIMI INDUSTRIES;
67;H;;746;-;30 - BC 3.0;00003074002520240123000032;600499;23-01-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
68;H;;746;-;30 - BC 3.0;01010000258220240123000086;600503;23-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
69;H;;745;-;30 - BC 3.0;00003092568520240123000024;600522;24-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
70;H;;745;-;30 - BC 3.0;00003092568520240123000025;600520;24-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
71;H;;745;-;30 - BC 3.0;00003082062720240124000104;600513;24-01-2024;820627214125000;SARANA MAJU BERSAMA;
72;H;;745;-;30 - BC 3.0;00003082062720240124000108;600511;24-01-2024;820627214125000;SARANA MAJU BERSAMA;
73;H;;745;-;30 - BC 3.0;00003031192420240124000054;600524;24-01-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
74;H;;745;-;30 - BC 3.0;00003031192420240124000053;600525;24-01-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
75;H;;745;-;30 - BC 3.0;00003053320220240124000034;600521;24-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
76;H;;745;-;30 - BC 3.0;00003090523320240124000026;600510;24-01-2024;506077619125000;PT.BUANA UTAMA MESTIKA INDAH;TAMARO TRANS LOGISTIK
77;H;;745;-;30 - BC 3.0;00003021016120240124000075;600518;24-01-2024;097054779122000;UD JUANDA AQUATIC;PUTRA INDONESIA SEJAHTERA
78;H;;745;-;30 - BC 3.0;01010000258220240123000085;600509;24-01-2024;015168784123000;PT. SAMAWOOD UTAMA WORKS INDUSTRIES;PT BIROTIKA SEMESTA
79;H;;745;-;30 - BC 3.0;00003082068420240124000089;600526;24-01-2024;010617975058000;PT. AQUAFARM NUSANTARA;DIRGANTARA SUMATERA EKSPRES
80;H;;744;-;30 - BC 3.0;00003082062720240125000114;600540;25-01-2024;820627214125000;SARANA MAJU BERSAMA;
81;H;;744;-;30 - BC 3.0;00003082062720240125000111;600551;25-01-2024;820627214125000;SARANA MAJU BERSAMA;
82;H;;744;-;30 - BC 3.0;00003074002520240124000033;600530;25-01-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
83;H;;744;-;30 - BC 3.0;01010000258220240125000096;600532;25-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
84;H;;743;-;30 - BC 3.0;00003092568520240126000029;600575;26-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
85;H;;743;-;30 - BC 3.0;00003082062720240125000113;600566;26-01-2024;820627214125000;SARANA MAJU BERSAMA;
86;H;;743;-;30 - BC 3.0;00003082062720240126000120;600579;26-01-2024;820627214125000;SARANA MAJU BERSAMA;
87;H;;743;-;30 - BC 3.0;00003021016120240126000078;600571;26-01-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
88;H;;743;-;30 - BC 3.0;00003053320220240126000036;600587;26-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
89;H;;743;-;30 - BC 3.0;00003021016120240126000081;600582;26-01-2024;097054779122000;UD JUANDA AQUATIC;PUTRA INDONESIA SEJAHTERA
90;H;;743;-;30 - BC 3.0;00003092821220240126000111;600563;26-01-2024;013451828058000;PT. TAMORA STEKINDO;PT. LOGISTIK EKSPRESINDO UTAMA
91;H;;743;-;30 - BC 3.0;00003092821220240126000113;600564;26-01-2024;013451828058000;PT. TAMORA STEKINDO;PT. LOGISTIK EKSPRESINDO UTAMA
92;H;;743;-;30 - BC 3.0;01010000258220240126000108;600588;26-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
93;H;;743;-;30 - BC 3.0;00003001225220240125000018;600557;26-01-2024;012252029123000;MEDAN TROPICAL CANNING&FROZENINDUSTRIES;
94;H;;742;-;30 - BC 3.0;00003092568520240127000030;600590;27-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
95;H;;742;-;30 - BC 3.0;00003082068420240127000097;600594;27-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
96;H;;742;-;30 - BC 3.0;00003082068420240127000094;600591;27-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
97;H;;742;-;30 - BC 3.0;00003082062720240127000125;600597;27-01-2024;820627214125000;SARANA MAJU BERSAMA;
98;H;;742;-;30 - BC 3.0;00003082062720240127000126;600598;27-01-2024;820627214125000;SARANA MAJU BERSAMA;
99;H;;742;-;30 - BC 3.0;00003082062720240127000128;600600;27-01-2024;820627214125000;SARANA MAJU BERSAMA;
100;H;;742;-;30 - BC 3.0;00003082062720240126000121;600599;27-01-2024;820627214125000;SARANA MAJU BERSAMA;
101;H;;742;-;30 - BC 3.0;00003082062720240127000124;600596;27-01-2024;820627214125000;SARANA MAJU BERSAMA;
102;H;;742;-;30 - BC 3.0;00003053320220240127000038;600602;27-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
103;H;;742;-;30 - BC 3.0;01010000258220240127000110;600595;27-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
104;H;;740;-;30 - BC 3.0;00003092821220240129000120;600627;29-01-2024;942504838125000;PT. DAMAI WALET SENTOSA;PT. LOGISTIK EKSPRESINDO UTAMA
105;H;;740;-;30 - BC 3.0;00003092568520240129000031;600611;29-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
106;H;;740;-;30 - BC 3.0;00003084834820240126000009;600616;29-01-2024;848348967125000;PT. ANUGERAH WALET JAYA;
107;H;;740;-;30 - BC 3.0;00003082062720240129000130;600620;29-01-2024;820627214125000;SARANA MAJU BERSAMA;
108;H;;740;-;30 - BC 3.0;00003053320220240129000040;600630;29-01-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
109;H;;740;-;30 - BC 3.0;00003092821220240129000119;600618;29-01-2024;073732711105000;UD. REZEKI BAHARI;PT. LOGISTIK EKSPRESINDO UTAMA
110;H;;740;-;30 - BC 3.0;00003082068420240129000098;600626;29-01-2024;030605901112000;PT. LAUTAN PERSADA;DIRGANTARA SUMATERA EKSPRES
111;H;;740;-;30 - BC 3.0;00003001718920240129000114;600604;29-01-2024;017189184125000;TOBA SURIMI INDUSTRIES;
112;H;;740;-;30 - BC 3.0;00003001430120240129000010;600607;29-01-2024;014301519122000;PT. RAYA ABADI KENCANA;PT. RAYA ABADI KENCANA
113;H;;740;-;30 - BC 3.0;00003001430120240129000009;600606;29-01-2024;014301519122000;PT. RAYA ABADI KENCANA;PT. RAYA ABADI KENCANA
114;H;;740;-;30 - BC 3.0;01010000258220240129000111;600625;29-01-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
115;H;;739;-;30 - BC 3.0;00003082068420240130000099;600637;30-01-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
116;H;;739;-;30 - BC 3.0;00003082062720240130000134;600641;30-01-2024;820627214125000;SARANA MAJU BERSAMA;
117;H;;739;-;30 - BC 3.0;00003082062720240130000136;600642;30-01-2024;820627214125000;SARANA MAJU BERSAMA;
118;H;;739;-;30 - BC 3.0;00003021016120240130000088;600636;30-01-2024;210826228122000;SUMARTA;PUTRA INDONESIA SEJAHTERA
119;H;;739;-;30 - BC 3.0;00003003227620240130000004;600647;30-01-2024;032276750043000;MUTIARA LAUT ABADI;
120;H;;738;-;30 - BC 3.0;00003092568520240131000034;600657;31-01-2024;925685810122000;CV. JAYA LAUT SUMATERA;
121;H;;738;-;30 - BC 3.0;00003082062720240131000138;600665;31-01-2024;820627214125000;SARANA MAJU BERSAMA;
122;H;;738;-;30 - BC 3.0;00003001430120240131000012;600651;31-01-2024;014301519122000;PT.RAYA ABADI KENCANA;PT.RAYA ABADI KENCANA
123;H;;737;-;30 - BC 3.0;00003092568520240201000035;600684;01-02-2024;925685810122000;CV. JAYA LAUT SUMATERA;
124;H;;737;-;30 - BC 3.0;00003082062720240131000142;600679;01-02-2024;820627214125000;SARANA MAJU BERSAMA;
125;H;;737;-;30 - BC 3.0;00003053320220240131000042;600675;01-02-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
126;H;;737;-;30 - BC 3.0;00003092821220240131000129;600674;01-02-2024;099092686112000;UD. ROYAL MARINE CENTRE;PT. LOGISTIK EKSPRESINDO UTAMA
127;H;;737;-;30 - BC 3.0;00003003199720240201000249;600690;01-02-2024;031997299063000;UNILEVER OLEOCHEMICAL INDONESIA;
128;H;;737;-;30 - BC 3.0;00003001718920240201000116;600685;01-02-2024;017189184125000;TOBA SURIMI INDUSTRIES;
129;H;;737;-;30 - BC 3.0;00003074002520240201000038;600691;01-02-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
130;H;;737;-;30 - BC 3.0;00003074002520240201000039;600692;01-02-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
131;H;;737;-;30 - BC 3.0;01010000258220240201000126;600696;01-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
132;H;;736;-;30 - BC 3.0;00003082062720240201000145;600699;02-02-2024;820627214125000;SARANA MAJU BERSAMA;
133;H;;736;-;30 - BC 3.0;00003082062720240202000150;600716;02-02-2024;820627214125000;SARANA MAJU BERSAMA;
134;H;;736;-;30 - BC 3.0;00003053202520240202000013;600704;02-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
135;H;;736;-;30 - BC 3.0;00003001430120240202000018;600721;02-02-2024;097054779122000;UD JUANDA AQUATIC;PT.RAYA ABADI KENCANA
136;H;;736;-;30 - BC 3.0;00003092821220240202000140;600719;02-02-2024;073732711105000;UD. REZEKI BAHARI;PT. LOGISTIK EKSPRESINDO UTAMA
137;H;;736;-;30 - BC 3.0;01010000258220240202000127;600720;02-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
138;H;;736;-;30 - BC 3.0;01010000258220240202000129;600723;02-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
139;H;;735;-;30 - BC 3.0;00003092568520240203000038;600731;03-02-2024;925685810122000;CV. JAYA LAUT SUMATERA;
140;H;;735;-;30 - BC 3.0;00003082068420240203000111;600729;03-02-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
141;H;;735;-;30 - BC 3.0;00003021016120240203000099;600727;03-02-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
142;H;;734;-;30 - BC 3.0;00003092821220240204000142;600737;04-02-2024;953323813113000;CV. KURNIA AGRO SUBUR;PT. LOGISTIK EKSPRESINDO UTAMA
143;H;;733;-;30 - BC 3.0;00003082068420240205000113;600756;05-02-2024;902933480112000;PT. ANUGERAH ALAM INDUSTRI;DIRGANTARA SUMATERA EKSPRES
144;H;;733;-;30 - BC 3.0;00003082062720240205000161;600745;05-02-2024;820627214125000;SARANA MAJU BERSAMA;
145;H;;733;-;30 - BC 3.0;00003053320220240205000045;600746;05-02-2024;533202974125000;PT. MARTAMBA TAMBA REZEKI;
146;H;;733;-;30 - BC 3.0;00003053202520240202000012;600742;05-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
147;H;;733;-;30 - BC 3.0;00003053202520240205000015;600740;05-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
148;H;;733;-;30 - BC 3.0;00003031287120240203000003;600752;05-02-2024;312871254124000;PT. OPAL COFFEE INDONESIA;
149;H;;733;-;30 - BC 3.0;00003001430120240205000019;600753;05-02-2024;097054779122000;UD JUANDA AQUATIC;PT.RAYA ABADI KENCANA
150;H;;733;-;30 - BC 3.0;01010000258220240205000133;600755;05-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
151;H;;732;-;30 - BC 3.0;00003082068420240206000114;600766;06-02-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
152;H;;732;-;30 - BC 3.0;00003082062720240206000168;600767;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
153;H;;732;-;30 - BC 3.0;00003082062720240206000164;600777;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
154;H;;732;-;30 - BC 3.0;00003082062720240205000162;600758;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
155;H;;732;-;30 - BC 3.0;00003082062720240206000169;600769;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
156;H;;732;-;30 - BC 3.0;00003082062720240206000171;600773;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
157;H;;732;-;30 - BC 3.0;00003082062720240206000170;600765;06-02-2024;820627214125000;SARANA MAJU BERSAMA;
158;H;;732;-;30 - BC 3.0;00003053202520240206000017;600759;06-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
159;H;;732;-;30 - BC 3.0;00003053202520240206000016;600763;06-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
160;H;;732;-;30 - BC 3.0;00003001718920240206000122;600761;06-02-2024;017189184125000;TOBA SURIMI INDUSTRIES;
161;H;;732;-;30 - BC 3.0;00003002591120240205000006;600771;06-02-2024;015163751123000;PT. GROWTH ASIA;GLOBAL TRANS NUSA
162;H;;732;-;30 - BC 3.0;01010000258220240206000135;600772;06-02-2024;011000163092000;PT. MUSIM MAS;PT BIROTIKA SEMESTA
163;H;;731;-;30 - BC 3.0;00003092568520240207000041;600794;07-02-2024;925685810122000;CV. JAYA LAUT SUMATERA;
164;H;;731;-;30 - BC 3.0;00003082068420240207000115;600784;07-02-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
165;H;;731;-;30 - BC 3.0;00003082062720240207000174;600783;07-02-2024;820627214125000;SARANA MAJU BERSAMA;
166;H;;731;-;30 - BC 3.0;00003082062720240207000172;600790;07-02-2024;820627214125000;SARANA MAJU BERSAMA;
167;H;;731;-;30 - BC 3.0;00003082062720240207000176;600789;07-02-2024;820627214125000;SARANA MAJU BERSAMA;
168;H;;731;-;30 - BC 3.0;00003082062720240207000173;600796;07-02-2024;820627214125000;SARANA MAJU BERSAMA;
169;H;;731;-;30 - BC 3.0;00003082062720240207000175;600802;07-02-2024;820627214125000;SARANA MAJU BERSAMA;
170;H;;731;-;30 - BC 3.0;00003021016120240207000105;600788;07-02-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
171;H;;731;-;30 - BC 3.0;00003053202520240207000020;600795;07-02-2024;532025061124000;CV. SENTRA MAJU UTAMA;
172;H;;731;-;30 - BC 3.0;00003082068420240207000118;600793;07-02-2024;420488702125000;SUMBER LAUT PERCUT;DIRGANTARA SUMATERA EKSPRES
173;H;;731;-;30 - BC 3.0;00003082068420240207000116;600785;07-02-2024;420488702125000;SUMBER LAUT PERCUT;DIRGANTARA SUMATERA EKSPRES
174;H;;731;-;30 - BC 3.0;00003001430120240207000022;600786;07-02-2024;097054779122000;UD JUANDA AQUATIC;PT.RAYA ABADI KENCANA
175;H;;731;-;30 - BC 3.0;05010000006720231229003529;600800;07-02-2024;015163751123000;PT GROWTH ASIA;PT BIROTIKA SEMESTA
176;H;;731;-;30 - BC 3.0;00003074002520240206000044;600780;07-02-2024;014310247121000;PT PERMATA HIJAU PALM OLEO;PT. MULIA BERJAYA ABADI
177;H;;731;-;30 - BC 3.0;01010000258220240207000144;600803;07-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
178;H;;731;-;30 - BC 3.0;01010000258220240207000139;600787;07-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
179;H;;729;-;30 - BC 3.0;00003021016120240209000107;600804;09-02-2024;708297288124000;PUTRI MANALU BERSAUDARA;PUTRA INDONESIA SEJAHTERA
180;H;;726;-;30 - BC 3.0;01010000258220240209000146;600814;12-02-2024;934989617112000;CV. MANDIRI KOPI;PT BIROTIKA SEMESTA
181;H;;726;-;30 - BC 3.0;00003092568520240211000044;600819;12-02-2024;925685810122000;CV. JAYA LAUT SUMATERA;
182;H;;726;-;30 - BC 3.0;00003082068420240212000120;600832;12-02-2024;845961077124000;CV. CHEERA KING SEAFOOD;DIRGANTARA SUMATERA EKSPRES
183;H;;726;-;30 - BC 3.0;00003082062720240212000181;600821;12-02-2024;820627214125000;SARANA MAJU BERSAMA;
184;H;;726;-;30 - BC 3.0;00003082062720240212000183;600822;12-02-2024;820627214125000;SARANA MAJU BERSAMA;
185;H;;726;-;30 - BC 3.0;00003082062720240212000177;600823;12-02-2024;820627214125000;SARANA MAJU BERSAMA;
186;H;;726;-;30 - BC 3.0;00003082062720240212000179;600827;12-02-2024;820627214125000;SARANA MAJU BERSAMA;
187;H;;726;-;30 - BC 3.0;00003031192420240207000082;600820;12-02-2024;708110432125000;PT. ORI GINALNEST INDONESIA;PT. BERLIAN TRANSTAR ABADI
188;H;;726;-;30 - BC 3.0;00003001430120240212000025;600813;12-02-2024;097054779122000;UD JUANDA AQUATIC;PT.RAYA ABADI KENCANA
189;H;;726;-;30 - BC 3.0;01010000258220240212000150;600816;12-02-2024;013107743062000;PT BIROTIKA SEMESTA;PT BIROTIKA SEMESTA
190;H;;725;-;30 - BC 3.0;00003092568520240213000046;600836;13-02-2024;925685810122000;CV. JAYA LAUT SUMATERA;
